og,level,nm,description,COG_categories,OG_ID
COG0516,2,6520,GMP reductase activity,F,COG0516@2
COG0515,2,32199,protein kinase activity,KLT,COG0515@2
COG0518,2,5756,GMP synthase (glutamine-hydrolyzing) activity,F,COG0518@2
COG0517,2,19137,IMP dehydrogenase activity,S,COG0517@2
COG0519,2,4481,GMP synthase (glutamine-hydrolyzing) activity,F,COG0519@2
COG0520,2,8713,"Catalyzes the removal of elemental sulfur and selenium atoms from L-cysteine, L-cystine, L-selenocysteine, and L- selenocystine to produce L-alanine",E,COG0520@2
COG0521,2,4507,Mo-molybdopterin cofactor metabolic process,H,COG0521@2
COG0522,2,4630,rRNA binding,J,COG0522@2
COG0523,2,6457,cobalamin synthesis protein,P,COG0523@2
COG0525,2,4580,valine-tRNA ligase activity,J,COG0525@2
COG0524,2,16991,"Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway",G,COG0524@2
COG0528,2,4576,UMP kinase activity,F,COG0528@2
COG0527,2,6851,aspartate kinase activity,E,COG0527@2
COG0529,2,2754,adenylylsulfate kinase activity,P,COG0529@2
COG0530,2,2625,"calcium, potassium:sodium antiporter activity",P,COG0530@2
COG0526,2,21967,cell redox homeostasis,CO,COG0526@2
COG0532,2,4631,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex,J,COG0532@2
COG0533,2,4691,N(6)-L-threonylcarbamoyladenine synthase activity,J,COG0533@2
COG0531,2,17374,amino acid,E,COG0531@2
COG0535,2,8164,radical SAM domain protein,I,COG0535@2
COG0536,2,4465,"An essential GTPase which binds GTP, GDP and possibly (p)ppGpp with moderate affinity, with high nucleotide exchange rates and a fairly low GTP hydrolysis rate. Plays a role in control of the cell cycle, stress response, ribosome biogenesis and in those bacteria that undergo differentiation, in morphogenesis control",C,COG0536@2
COG0538,2,2524,isocitrate dehydrogenase activity,C,COG0538@2
COG0534,2,15465,drug transmembrane transporter activity,V,COG0534@2
COG0537,2,8476,bis(5'-adenosyl)-triphosphatase activity,FG,COG0537@2
COG0539,2,5099,ribosomal small subunit biogenesis,J,COG0539@2
COG0540,2,4383,Belongs to the ATCase OTCase family,F,COG0540@2
COG0541,2,4483,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY,U,COG0541@2
COG0543,2,5846,"2 iron, 2 sulfur cluster binding",C,COG0543@2
COG0544,2,4806,peptidyl-prolyl cis-trans isomerase activity,D,COG0544@2
COG0542,2,12385,response to heat,O,COG0542@2
COG0545,2,6051,Peptidyl-prolyl cis-trans isomerase,O,COG0545@2
COG0546,2,11825,glycolate biosynthetic process,S,COG0546@2
COG0547,2,4632,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),E,COG0547@2
COG0548,2,4716,Belongs to the acetylglutamate kinase family. ArgB subfamily,E,COG0548@2
COG0549,2,1452,Belongs to the carbamate kinase family,E,COG0549@2
COG0551,2,2204,DNA topological change,L,COG0551@2
COG0550,2,7882,DNA topoisomerase type I activity,L,COG0550@2
COG0552,2,4583,SRP-dependent cotranslational protein targeting to membrane,U,COG0552@2
COG0555,2,1985,ATPase-coupled sulfate transmembrane transporter activity,P,COG0555@2
COG0554,2,4501,glycerol kinase activity,C,COG0554@2
COG0553,2,9077,helicase activity,L,COG0553@2
COG0556,2,4508,nucleotide-excision repair,L,COG0556@2
COG0557,2,4569,exoribonuclease II activity,K,COG0557@2
COG0558,2,8565,Belongs to the CDP-alcohol phosphatidyltransferase class-I family,I,COG0558@2
COG0559,2,10601,leucine import across plasma membrane,E,COG0559@2
COG0562,2,1468,UDP-galactopyranose mutase activity,M,COG0562@2
COG0560,2,7455,Phosphoserine phosphatase,E,COG0560@2
COG0563,2,6258,adenylate kinase activity,F,COG0563@2
COG0561,2,13921,phosphatase activity,Q,COG0561@2
COG0565,2,2072,Catalyzes the formation of 2'O-methylated cytidine (Cm32) or 2'O-methylated uridine (Um32) at position 32 in tRNA,J,COG0565@2
COG0564,2,13353,pseudouridine synthase activity,J,COG0564@2
COG0566,2,11836,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family,J,COG0566@2
COG0567,2,2915,oxoglutarate dehydrogenase (succinyl-transferring) activity,C,COG0567@2
COG0568,2,10249,sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released,K,COG0568@2
COG0569,2,8142,domain protein,P,COG0569@2
COG0571,2,4570,ribonuclease III activity,J,COG0571@2
COG0572,2,4804,uridine kinase,F,COG0572@2
COG0573,2,4095,inorganic phosphate transmembrane transporter activity,P,COG0573@2
COG0575,2,2377,Belongs to the CDS family,I,COG0575@2
COG0574,2,5682,Belongs to the PEP-utilizing enzyme family,G,COG0574@2
COG0576,2,4940,"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ",O,COG0576@2
COG0578,2,4062,Belongs to the FAD-dependent glycerol-3-phosphate dehydrogenase family,C,COG0578@2
COG0579,2,3511,malate dehydrogenase (menaquinone) activity,S,COG0579@2
COG0580,2,4447,water channel activity,U,COG0580@2
COG0577,2,22560,efflux transmembrane transporter activity,V,COG0577@2
COG0581,2,4514,inorganic phosphate transmembrane transporter activity,P,COG0581@2
COG0582,2,26020,DNA integration,L,COG0582@2
COG0585,2,876,pseudouridine synthase activity,J,COG0585@2
COG0584,2,8702,glycerophosphodiester phosphodiesterase activity,C,COG0584@2
COG0588,2,2572,phosphoglycerate mutase activity,G,COG0588@2
COG0587,2,6974,DNA-directed DNA polymerase activity,L,COG0587@2
COG0586,2,8139,FtsZ-dependent cytokinesis,S,COG0586@2
COG0590,2,7007,tRNA wobble adenosine to inosine editing,FJ,COG0590@2
COG0592,2,5038,DNA-directed DNA polymerase activity,L,COG0592@2
COG0591,2,8331,symporter activity,E,COG0591@2
COG0594,2,4118,ribonuclease P activity,J,COG0594@2
COG0589,2,18347,AMP binding,T,COG0589@2
COG0593,2,6423,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,L,COG0593@2
COG0595,2,3978,An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay,H,COG0595@2
COG0597,2,5031,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,MU,COG0597@2
COG0598,2,6369,Magnesium transport protein CorA,P,COG0598@2
COG0599,2,5954,peroxiredoxin activity,S,COG0599@2
COG0600,2,12653,ABC-type nitrate sulfonate bicarbonate transport system permease component,P,COG0600@2
COG0602,2,4240,queuosine metabolic process,H,COG0602@2
COG0596,2,27958,"hydrolase activity, acting on ester bonds",S,COG0596@2
COG0603,2,2814,Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)),F,COG0603@2
COG0601,2,17633,nitrogen compound transport,P,COG0601@2
COG0605,2,4786,Destroys radicals which are normally produced within the cells and which are toxic to biological systems,C,COG0605@2
COG0606,2,4123,"chelatase, subunit chli",O,COG0606@2
COG0583,2,89768,DNA-binding transcription factor activity,K,COG0583@2
COG0608,2,4061,single-stranded DNA 5'-3' exodeoxyribonuclease activity,L,COG0608@2
COG0604,2,20992,NADPH:quinone reductase activity,C,COG0604@2
COG0610,2,3754,"Subunit R is required for both nuclease and ATPase activities, but not for modification",L,COG0610@2
COG0611,2,2971,thiamine-phosphate kinase activity,H,COG0611@2
COG0609,2,11268,iron ion homeostasis,P,COG0609@2
COG0607,2,16889,"Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS",P,COG0607@2
COG0612,2,10150,"Peptidase, M16",L,COG0612@2
COG0613,2,4808,PHP domain protein,Q,COG0613@2
COG0615,2,2966,ADP-L-glycero-beta-D-manno-heptose biosynthetic process,H,COG0615@2
COG0614,2,13606,"abc-type fe3 -hydroxamate transport system, periplasmic component",P,COG0614@2
COG0616,2,4703,serine-type peptidase activity,OU,COG0616@2
COG0618,2,3073,phosphoesterase RecJ domain protein,S,COG0618@2
COG0617,2,6074,CTP:tRNA cytidylyltransferase activity,J,COG0617@2
COG0619,2,6580,transmembrane transporter activity,P,COG0619@2
COG0620,2,4547,Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation,E,COG0620@2
COG0622,2,3006,"retrograde transport, endosome to Golgi",S,COG0622@2
COG0621,2,9037,"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine",J,COG0621@2
COG0623,2,3625,enoyl-[acyl-carrier-protein] reductase (NADH) activity,I,COG0623@2
COG0624,2,16928,succinyl-diaminopimelate desuccinylase activity,E,COG0624@2
COG0626,2,8076,cystathionine gamma-synthase activity,E,COG0626@2
COG0627,2,5822,Serine hydrolase involved in the detoxification of formaldehyde,J,COG0627@2
COG0630,2,694,"type IV secretory pathway, VirB11 components, and related ATPases involved in Archaeal flagella biosynthesis",NU,COG0630@2
COG0628,2,12409,permease,D,COG0628@2
COG0625,2,17484,glutathione transferase activity,O,COG0625@2
COG0632,2,4423,four-way junction helicase activity,L,COG0632@2
COG0631,2,6643,protein serine/threonine phosphatase activity,T,COG0631@2
COG0629,2,8961,single-stranded DNA binding,L,COG0629@2
COG0633,2,5149,Ferredoxin,C,COG0633@2
COG0634,2,3898,Belongs to the purine pyrimidine phosphoribosyltransferase family,F,COG0634@2
COG0635,2,7496,coproporphyrinogen oxidase activity,H,COG0635@2
COG0636,2,4224,ATP hydrolysis coupled proton transport,C,COG0636@2
COG0638,2,1741,"Catalyzes the covalent attachment of the prokaryotic ubiquitin-like protein modifier Pup to the proteasomal substrate proteins, thereby targeting them for proteasomal degradation. This tagging system is termed pupylation. The ligation reaction involves the side-chain carboxylate of the C-terminal glutamate of Pup and the side-chain amino group of a substrate lysine",O,COG0638@2
COG0637,2,10373,phosphonoacetaldehyde hydrolase activity,S,COG0637@2
COG0639,2,6944,phosphoprotein phosphatase activity,T,COG0639@2
COG0641,2,3046,radical SAM,C,COG0641@2
COG0643,2,4429,phosphorelay sensor kinase activity,T,COG0643@2
COG0640,2,26187,DNA-binding transcription factor activity,K,COG0640@2
COG0645,2,2509,AAA domain,S,COG0645@2
COG0642,2,11982,Histidine kinase,T,COG0642@2
COG0644,2,7142,geranylgeranyl reductase activity,C,COG0644@2
COG0646,2,3827,methionine synthase,E,COG0646@2
COG0647,2,3908,UMP catabolic process,G,COG0647@2
COG0648,2,2180,deoxyribonuclease IV (phage-T4-induced) activity,L,COG0648@2
COG0649,2,3160,NAD binding,C,COG0649@2
COG0650,2,686,cellular response to DNA damage stimulus,C,COG0650@2
COG0651,2,3999,ATP synthesis coupled electron transport,CP,COG0651@2
COG0652,2,8380,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,O,COG0652@2
COG0653,2,5298,protein targeting,U,COG0653@2
COG0654,2,18539,COG0654 2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases,CH,COG0654@2
COG0655,2,6321,NAD(P)H dehydrogenase (quinone) activity,S,COG0655@2
COG0656,2,6697,aldo-keto reductase (NADP) activity,S,COG0656@2
COG0658,2,4285,establishment of competence for transformation,S,COG0658@2
COG0657,2,13437,acetylesterase activity,I,COG0657@2
COG0659,2,7495,secondary active sulfate transmembrane transporter activity,P,COG0659@2
COG0661,2,5058,Is probably a protein kinase regulator of UbiI activity which is involved in aerobic coenzyme Q (ubiquinone) biosynthesis,I,COG0661@2
COG0662,2,10666,"Cupin 2, conserved barrel domain protein",G,COG0662@2
COG0663,2,4708,"COG0663 Carbonic anhydrases acetyltransferases, isoleucine patch superfamily",G,COG0663@2
COG0664,2,22461,cyclic nucleotide binding,T,COG0664@2
COG0666,2,6726,response to abiotic stimulus,G,COG0666@2
COG0668,2,10408,transmembrane transport,M,COG0668@2
COG0667,2,18508,Aldo Keto reductase,C,COG0667@2
COG0665,2,20572,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity,E,COG0665@2
COG0669,2,4474,"Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate",H,COG0669@2
COG0670,2,2898,Belongs to the BI1 family,M,COG0670@2
COG0672,2,1794,high-affinity ferrous iron transmembrane transporter activity,P,COG0672@2
COG0671,2,13688,phosphatidate phosphatase activity,I,COG0671@2
COG0674,2,4103,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor",C,COG0674@2
COG0676,2,855,glucose-6-phosphate 1-epimerase activity,G,COG0676@2
COG0675,2,8648,"Transposase, IS605 OrfB family",L,COG0675@2
COG0677,2,3285,UDP-N-acetyl-D-mannosamine dehydrogenase activity,M,COG0677@2
COG0678,2,1437,peroxiredoxin activity,O,COG0678@2
COG0679,2,5778,auxin-activated signaling pathway,S,COG0679@2
COG0680,2,2182,spore germination,C,COG0680@2
COG0673,2,24799,inositol 2-dehydrogenase activity,S,COG0673@2
COG0681,2,8913,signal peptide processing,U,COG0681@2
COG0682,2,5199,lipoprotein biosynthetic process,M,COG0682@2
COG0684,2,3923,ribonuclease inhibitor activity,H,COG0684@2
COG0685,2,4637,methylenetetrahydrofolate reductase (NAD(P)H) activity,E,COG0685@2
COG0686,2,3484,alanine dehydrogenase activity,E,COG0686@2
COG0683,2,17789,"ABC-type branched-chain amino acid transport systems, periplasmic component",E,COG0683@2
COG0688,2,3422,phosphatidylethanolamine metabolic process,I,COG0688@2
COG0687,2,7173,Required for the activity of the bacterial periplasmic transport system of putrescine,E,COG0687@2
COG0689,2,3008,Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates,J,COG0689@2
COG0690,2,4132,P-P-bond-hydrolysis-driven protein transmembrane transporter activity,U,COG0690@2
COG0691,2,4481,"Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene",O,COG0691@2
COG0692,2,3631,deaminated base DNA N-glycosylase activity,L,COG0692@2
COG0694,2,3420,iron-sulfur cluster assembly,O,COG0694@2
COG0693,2,9335,protein deglycation,S,COG0693@2
COG0695,2,7724,Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins,O,COG0695@2
COG0696,2,2552,Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate,G,COG0696@2
COG0698,2,4249,galactose-6-phosphate isomerase activity,G,COG0698@2
COG0699,2,3987,ATPase. Has a role at an early stage in the morphogenesis of the spore coat,T,COG0699@2
COG0700,2,1230,Nucleoside recognition,S,COG0700@2
COG0701,2,2895,Predicted permease,S,COG0701@2
COG0697,2,37022,spore germination,EG,COG0697@2
COG0703,2,5336,shikimate kinase activity,F,COG0703@2
COG0704,2,4076,negative regulation of phosphate transmembrane transport,P,COG0704@2
COG0702,2,16158,epimerase,GM,COG0702@2
COG0705,2,7204,proteolysis,S,COG0705@2
COG0706,2,5405,membrane insertase activity,U,COG0706@2
COG0707,2,6660,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity,M,COG0707@2
COG0709,2,1658,"selenide, water dikinase activity",E,COG0709@2
COG0708,2,6487,double-stranded DNA 3'-5' exodeoxyribonuclease activity,L,COG0708@2
COG0710,2,914,3-dehydroquinate dehydratase activity,E,COG0710@2
COG0711,2,6411,ATP synthesis coupled proton transport,C,COG0711@2
COG0712,2,4265,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",C,COG0712@2
COG0713,2,3123,ATP synthesis coupled electron transport,C,COG0713@2
COG0715,2,15455,thiamine-containing compound biosynthetic process,P,COG0715@2
COG0716,2,5666,FMN binding,C,COG0716@2
COG0718,2,4425,YbaB/EbfC DNA-binding family,S,COG0718@2
COG0714,2,13480,Associated with various cellular activities,KLT,COG0714@2
COG0717,2,2894,dUTP biosynthetic process,F,COG0717@2
COG0720,2,3548,synthase,H,COG0720@2
COG0719,2,6896,iron-sulfur cluster assembly,O,COG0719@2
COG0721,2,3528,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),J,COG0721@2
COG0722,2,2824,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP),E,COG0722@2
COG0723,2,4178,"oxidoreductase activity, acting on diphenols and related substances as donors",C,COG0723@2
COG0724,2,1904,RNA recognition motif,K,COG0724@2
COG0725,2,3988,tungstate binding,P,COG0725@2
COG0727,2,3757,metal cluster binding,S,COG0727@2
COG0728,2,4101,peptidoglycan biosynthetic process,M,COG0728@2
COG0729,2,2174,surface antigen,M,COG0729@2
COG0731,2,516,radical SAM domain protein,C,COG0731@2
COG0726,2,16826,polysaccharide deacetylase,G,COG0726@2
COG0732,2,5535,type I restriction modification DNA specificity domain,V,COG0732@2
COG0730,2,14645,response to heat,S,COG0730@2
COG0733,2,3215,neurotransmitter:sodium symporter activity,S,COG0733@2
COG0736,2,3423,holo-[acyl-carrier-protein] synthase activity,I,COG0736@2
COG0735,2,10695,belongs to the Fur family,P,COG0735@2
COG0737,2,6592,nucleotide catabolic process,F,COG0737@2
COG0738,2,5251,Major facilitator superfamily,G,COG0738@2
COG0740,2,8588,serine-type endopeptidase activity,OU,COG0740@2
COG0739,2,15478,heme binding,M,COG0739@2
COG0741,2,13660,lytic transglycosylase activity,M,COG0741@2
COG0743,2,3655,1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,I,COG0743@2
COG0742,2,5403,rRNA (guanine-N2-)-methyltransferase activity,L,COG0742@2
COG0746,2,3391,molybdenum cofactor guanylyltransferase activity,H,COG0746@2
COG0744,2,8956,Peptidoglycan polymerase that catalyzes glycan chain elongation from lipid-linked precursors,M,COG0744@2
COG0748,2,2655,coenzyme F420 binding,P,COG0748@2
COG0749,2,5405,"In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity",L,COG0749@2
COG0751,2,2738,glycyl-tRNA aminoacylation,J,COG0751@2
COG0750,2,4873,metalloendopeptidase activity,M,COG0750@2
COG0747,2,18623,dipeptide transport,E,COG0747@2
COG0752,2,2700,glycyl-tRNA aminoacylation,J,COG0752@2
COG0754,2,1187,glutathionylspermidine amidase activity,E,COG0754@2
COG0753,2,4459,catalase activity,C,COG0753@2
COG0755,2,4101,cytochrome complex assembly,O,COG0755@2
COG0756,2,3848,dUTP diphosphatase activity,F,COG0756@2
COG0757,2,3831,Catalyzes a trans-dehydration via an enolate intermediate,E,COG0757@2
COG0758,2,5291,DNA mediated transformation,LU,COG0758@2
COG0745,2,77148,phosphorelay signal transduction system,T,COG0745@2
COG0759,2,3505,Could be involved in insertion of integral membrane proteins into the membrane,M,COG0759@2
COG0760,2,10483,peptidyl-prolyl cis-trans isomerase activity,O,COG0760@2
COG0761,2,3982,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,IM,COG0761@2
COG0762,2,3487,integral membrane protein,D,COG0762@2
COG0763,2,2605,lipid-A-disaccharide synthase activity,M,COG0763@2
COG0764,2,6273,3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,I,COG0764@2
COG0766,2,5662,UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity,M,COG0766@2
COG0767,2,5380,"ABC-type transport system involved in resistance to organic solvents, permease component",Q,COG0767@2
COG0765,2,18443,amino acid transport,P,COG0765@2
COG0769,2,5808,"UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase activity",M,COG0769@2
COG0770,2,5597,UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity,M,COG0770@2
COG0771,2,5062,Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA),M,COG0771@2
COG0768,2,12231,penicillin binding,M,COG0768@2
COG0773,2,5764,UDP-N-acetylmuramate-L-alanine ligase activity,M,COG0773@2
COG0774,2,2442,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity,M,COG0774@2
COG0772,2,10106,peptidoglycan glycosyltransferase activity,D,COG0772@2
COG0775,2,5113,adenosylhomocysteine nucleosidase activity,F,COG0775@2
COG0777,2,3687,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,I,COG0777@2
COG0776,2,12336,regulation of translation,L,COG0776@2
COG0779,2,4167,ribosomal small subunit biogenesis,S,COG0779@2
COG0780,2,2454,Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1),G,COG0780@2
COG0781,2,6962,transcription antitermination,J,COG0781@2
COG0782,2,7775,"Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus",K,COG0782@2
COG0783,2,3962,Belongs to the Dps family,P,COG0783@2
COG0778,2,16967,coenzyme F420-1:gamma-L-glutamate ligase activity,C,COG0778@2
COG0786,2,1643,glutamate:sodium symporter activity,P,COG0786@2
COG0785,2,3713,Cytochrome C biogenesis protein,O,COG0785@2
COG0787,2,5360,Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids,E,COG0787@2
COG0788,2,3018,formyltetrahydrofolate deformylase activity,F,COG0788@2
COG0784,2,20924,"Response regulator, receiver",T,COG0784@2
COG0792,2,3656,nuclease activity,L,COG0792@2
COG0790,2,7875,beta-lactamase activity,S,COG0790@2
COG0789,2,28650,"bacterial-type RNA polymerase transcription factor activity, metal ion regulated sequence-specific DNA binding",K,COG0789@2
COG0791,2,14137,cysteine-type peptidase activity,M,COG0791@2
COG0794,2,3186,arabinose-5-phosphate isomerase activity,M,COG0794@2
COG0793,2,9619,Belongs to the peptidase S41A family,M,COG0793@2
COG0795,2,5183,lipopolysaccharide-transporting ATPase activity,M,COG0795@2
COG0796,2,4150,Provides the (R)-glutamate required for cell wall biosynthesis,M,COG0796@2
COG0797,2,3139,peptidoglycan binding,M,COG0797@2
COG0798,2,2488,PFAM Bile acid sodium symporter,P,COG0798@2
COG0799,2,4252,negative regulation of ribosome biogenesis,S,COG0799@2
COG0800,2,4217,2-dehydro-3-deoxy-phosphogluconate aldolase activity,G,COG0800@2
COG0801,2,4591,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,H,COG0801@2
COG0802,2,4407,tRNA threonylcarbamoyladenosine modification,S,COG0802@2
COG0804,2,1848,Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family,E,COG0804@2
COG0805,2,3723,protein transport,U,COG0805@2
COG0806,2,4325,ribosome binding,J,COG0806@2
COG0803,2,6537,Belongs to the bacterial solute-binding protein 9 family,P,COG0803@2
COG0809,2,3994,Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA),J,COG0809@2
COG0807,2,5462,GTP cyclohydrolase II activity,H,COG0807@2
COG0812,2,4514,UDP-N-acetylmuramate dehydrogenase activity,M,COG0812@2
COG0813,2,1742,purine-nucleoside phosphorylase activity,F,COG0813@2
COG0810,2,10399,energy transducer activity,M,COG0810@2
COG0814,2,2281,amino acid,E,COG0814@2
COG0811,2,7743,bacteriocin transport,U,COG0811@2
COG0815,2,3518,Transfers the fatty acyl group on membrane lipoproteins,M,COG0815@2
COG0816,2,4554,Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA,L,COG0816@2
COG0817,2,3846,Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group,L,COG0817@2
COG0818,2,2675,undecaprenol kinase activity,M,COG0818@2
COG0819,2,1825,"Catalyzes an amino-pyrimidine hydrolysis reaction at the C5' of the pyrimidine moiety of thiamine compounds, a reaction that is part of a thiamine salvage pathway",K,COG0819@2
COG0821,2,3949,"Converts 2C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate",I,COG0821@2
COG0820,2,4501,rRNA (adenine-C2-)-methyltransferase activity,J,COG0820@2
COG0822,2,4520,iron-sulfur transferase activity,C,COG0822@2
COG0823,2,11136,Involved in the tonB-independent uptake of proteins,U,COG0823@2
COG0824,2,10147,Thioesterase,IQ,COG0824@2
COG0825,2,3734,malonyl-CoA biosynthetic process,I,COG0825@2
COG0826,2,5755,peptidase U32,O,COG0826@2
COG0827,2,3962,DNA restriction-modification system,L,COG0827@2
COG0828,2,3727,Belongs to the bacterial ribosomal protein bS21 family,J,COG0828@2
COG0829,2,1676,nickel cation binding,O,COG0829@2
COG0830,2,1680,nickel cation binding,O,COG0830@2
COG0831,2,1815,urea catabolic process,E,COG0831@2
COG0832,2,1806,Belongs to the urease beta subunit family,E,COG0832@2
COG0833,2,1959,amino acid,E,COG0833@2
COG0836,2,3382,mannose-1-phosphate guanylyltransferase activity,M,COG0836@2
COG0837,2,1531,glucokinase activity,G,COG0837@2
COG0835,2,7739,chemotaxis,NT,COG0835@2
COG0838,2,3136,NADH dehydrogenase (ubiquinone) activity,C,COG0838@2
COG0839,2,3132,Belongs to the complex I subunit 6 family,C,COG0839@2
COG0834,2,27713,amino acid transport,ET,COG0834@2
COG0843,2,5610,heme-copper terminal oxidase activity,C,COG0843@2
COG0841,2,17539,transmembrane transporter activity,V,COG0841@2
COG0846,2,5192,NAD+ binding,K,COG0846@2
COG0840,2,36817,transmembrane signaling receptor activity,NT,COG0840@2
COG0842,2,17817,Transport permease protein,V,COG0842@2
